Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Feb 6 2013,Cincinnati,50,Providence,54,,
Wed Feb 6 2013,Louisville,68,Rutgers,48,,
Wed Feb 6 2013,Marquette,70,South Florida,47,,
Wed Feb 6 2013,Connecticut,65,St. John's (NY),71,,
Sat Feb 9 2013,Pittsburgh,62,Cincinnati,52,,
Sat Feb 9 2013,DePaul,78,Marquette,89,,
Sat Feb 9 2013,Louisville,101,Notre Dame,104,5OT,
Sat Feb 9 2013,Georgetown,69,Rutgers,63,,
Sat Feb 9 2013,South Florida,40,Villanova,68,,
Sun Feb 10 2013,Connecticut,78,Seton Hall,67,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sun Feb 10 2013,St. John's (NY),58,Syracuse,77,,
Mon Feb 11 2013,Marquette,55,Georgetown,63,,
Tue Feb 12 2013,Villanova,50,Cincinnati,68,,
Tue Feb 12 2013,Seton Hall,55,Rutgers,57,,
Wed Feb 13 2013,Syracuse,58,Connecticut,66,,
Wed Feb 13 2013,DePaul,78,Notre Dame,82,OT,
Wed Feb 13 2013,Providence,76,South Florida,66,,
Thu Feb 14 2013,St. John's (NY),58,Louisville,72,,
Fri Feb 15 2013,Georgetown,62,Cincinnati,55,,
Sat Feb 16 2013,Villanova,70,Connecticut,61,,
Sat Feb 16 2013,Rutgers,69,DePaul,75,,
Sat Feb 16 2013,Pittsburgh,69,Marquette,79,,
Sat Feb 16 2013,Notre Dame,54,Providence,71,,
Sat Feb 16 2013,Syracuse,76,Seton Hall,65,,
Sun Feb 17 2013,Louisville,59,South Florida,41,,
Mon Feb 18 2013,Notre Dame,51,Pittsburgh,42,,
Mon Feb 18 2013,Rutgers,63,Villanova,71,,
Tue Feb 19 2013,Marquette,67,Seton Hall,46,,
Wed Feb 20 2013,DePaul,66,Georgetown,90,,
Wed Feb 20 2013,South Florida,54,St. John's (NY),69,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Feb 20 2013,Providence,59,Syracuse,84,,
Thu Feb 21 2013,Cincinnati,66,Connecticut,73,OT,
Sat Feb 23 2013,Connecticut,81,DePaul,69,,
Sat Feb 23 2013,Seton Hall,61,Louisville,79,,
Sat Feb 23 2013,Providence,76,Rutgers,72,,
Sat Feb 23 2013,Georgetown,57,Syracuse,46,,
Sat Feb 23 2013,Marquette,56,Villanova,60,,
Sun Feb 24 2013,Cincinnati,41,Notre Dame,62,,
Sun Feb 24 2013,Pittsburgh,63,St. John's (NY),47,,
Mon Feb 25 2013,Syracuse,71,Marquette,74,,
Mon Feb 25 2013,Villanova,65,Seton Hall,66,,
Wed Feb 27 2013,Georgetown,79,Connecticut,78,2OT,
Wed Feb 27 2013,Louisville,79,DePaul,58,,
Wed Feb 27 2013,South Florida,44,Pittsburgh,64,,
Sat Mar 2 2013,Connecticut,56,Cincinnati,61,,
Sat Mar 2 2013,Rutgers,51,Georgetown,64,,
Sat Mar 2 2013,Notre Dame,64,Marquette,72,,
Sat Mar 2 2013,St. John's (NY),59,Providence,62,,
Sat Mar 2 2013,Louisville,58,Syracuse,53,,
Sun Mar 3 2013,Villanova,64,Pittsburgh,73,OT,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sun Mar 3 2013,DePaul,73,South Florida,83,,
Mon Mar 4 2013,Cincinnati,51,Louisville,67,,
Tue Mar 5 2013,St. John's (NY),40,Notre Dame,66,,
Tue Mar 5 2013,Seton Hall,66,Providence,76,,
Tue Mar 5 2013,Marquette,60,Rutgers,54,,
Wed Mar 6 2013,Connecticut,51,South Florida,65,,
Wed Mar 6 2013,DePaul,57,Syracuse,78,,
Wed Mar 6 2013,Georgetown,57,Villanova,67,,
Fri Mar 8 2013,Rutgers,56,Seton Hall,51,,
Sat Mar 9 2013,South Florida,53,Cincinnati,61,OT,
Sat Mar 9 2013,Providence,59,Connecticut,63,OT,
Sat Mar 9 2013,Pittsburgh,81,DePaul,66,,
Sat Mar 9 2013,Syracuse,39,Georgetown,61,,
Sat Mar 9 2013,Notre Dame,57,Louisville,73,,
Sat Mar 9 2013,Marquette,69,St. John's (NY),67,OT,
Tue Mar 12 2013,Rutgers,76,DePaul,57,,Big East First Round
Tue Mar 12 2013,South Florida,42,Seton Hall,46,OT,Big East First Round
Wed Mar 13 2013,Providence,44,Cincinnati,61,,Big East Second Round
Wed Mar 13 2013,Rutgers,61,Notre Dame,69,,Big East Second Round
Wed Mar 13 2013,Syracuse,75,Seton Hall,63,,Big East Second Round
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Mar 13 2013,Villanova,66,St. John's (NY),53,,Big East Second Round
Thu Mar 14 2013,Georgetown,62,Cincinnati,43,,Big East Quarterfinal Round
Thu Mar 14 2013,Villanova,55,Louisville,74,,Big East Quarterfinal Round
Thu Mar 14 2013,Notre Dame,73,Marquette,65,,Big East Quarterfinal Round
Thu Mar 14 2013,Syracuse,62,Pittsburgh,59,,Big East Quarterfinal Round
Fri Mar 15 2013,Syracuse,58,Georgetown,55,OT,Big East Semifinal Round
Fri Mar 15 2013,Notre Dame,57,Louisville,69,,Big East Semifinal Round
Sat Mar 16 2013,Syracuse,61,Louisville,78,,Big East Final
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Mon Dec 31 2012,Indiana,69,Iowa,65,,
Mon Dec 31 2012,Michigan State,63,Minnesota,76,,
Wed Jan 2 2013,Nebraska,44,Ohio State,70,,
Wed Jan 2 2013,Illinois,61,Purdue,68,,
Thu Jan 3 2013,Michigan,94,Northwestern,66,,
Thu Jan 3 2013,Penn State,51,Wisconsin,60,,
Sat Jan 5 2013,Ohio State,55,Illinois,74,,
Sat Jan 5 2013,Purdue,61,Michigan State,84,,
Sun Jan 6 2013,Iowa,67,Michigan,95,,
Sun Jan 6 2013,Northwestern,51,Minnesota,69,,
Sun Jan 6 2013,Wisconsin,47,Nebraska,41,,
Mon Jan 7 2013,Indiana,74,Penn State,51,,
Tue Jan 8 2013,Ohio State,74,Purdue,64,,
Wed Jan 9 2013,Minnesota,84,Illinois,67,,
Wed Jan 9 2013,Nebraska,47,Michigan,62,,
Thu Jan 10 2013,Michigan State,62,Iowa,59,,
Thu Jan 10 2013,Northwestern,70,Penn State,54,,
Sat Jan 12 2013,Minnesota,81,Indiana,88,,
Sat Jan 12 2013,Illinois,51,Wisconsin,74,,
Sun Jan 13 2013,Nebraska,56,Michigan State,66,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sun Jan 13 2013,Iowa,70,Northwestern,50,,
Sun Jan 13 2013,Michigan,53,Ohio State,56,,
Sun Jan 13 2013,Penn State,42,Purdue,60,,
Tue Jan 15 2013,Wisconsin,64,Indiana,59,,
Wed Jan 16 2013,Purdue,65,Nebraska,56,,
Wed Jan 16 2013,Michigan State,81,Penn State,72,,
Thu Jan 17 2013,Northwestern,68,Illinois,54,,
Thu Jan 17 2013,Michigan,83,Minnesota,75,,
Sat Jan 19 2013,Wisconsin,66,Iowa,70,,
Sat Jan 19 2013,Ohio State,56,Michigan State,59,,
Sat Jan 19 2013,Nebraska,68,Penn State,64,,
Sun Jan 20 2013,Indiana,67,Northwestern,59,,
Tue Jan 22 2013,Illinois,71,Nebraska,51,,
Tue Jan 22 2013,Iowa,63,Ohio State,72,,
