Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Mar 4 2014,Alabama,48,Kentucky,55,,
Tue Mar 4 2014,Florida,72,South Carolina,46,,
Wed Mar 5 2014,Mississippi,80,Arkansas,110,,
Wed Mar 5 2014,Tennessee,82,Auburn,54,,
Wed Mar 5 2014,Mississippi State,45,Georgia,66,,
Wed Mar 5 2014,Texas A&M,56,Missouri,57,,
Thu Mar 6 2014,Louisiana State,57,Vanderbilt,51,,
Sat Mar 8 2014,Arkansas,58,Alabama,83,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Mar 8 2014,Kentucky,65,Florida,84,,
Sat Mar 8 2014,Georgia,69,Louisiana State,61,,
Sat Mar 8 2014,Vanderbilt,62,Mississippi,65,,
Sat Mar 8 2014,South Carolina,74,Mississippi State,62,,
Sat Mar 8 2014,Missouri,45,Tennessee,72,,
Sat Mar 8 2014,Auburn,69,Texas A&M,64,,
Wed Mar 12 2014,South Carolina,74,Auburn,56,,SEC First Round
Wed Mar 12 2014,Vanderbilt,68,Mississippi State,82,,SEC First Round
Thu Mar 13 2014,Louisiana State,68,Alabama,56,,SEC Second Round
Thu Mar 13 2014,South Carolina,71,Arkansas,69,,SEC Second Round
Thu Mar 13 2014,Mississippi State,66,Mississippi,78,,SEC Second Round
Thu Mar 13 2014,Texas A&M,83,Missouri,91,2OT,SEC Second Round
Fri Mar 14 2014,Missouri,49,Florida,72,,SEC Quarterfinal
Fri Mar 14 2014,Mississippi,73,Georgia,75,,SEC Quarterfinal
Fri Mar 14 2014,Louisiana State,67,Kentucky,85,,SEC Quarterfinal
Fri Mar 14 2014,Tennessee,59,South Carolina,44,,SEC Quarterfinal
Sat Mar 15 2014,Tennessee,49,Florida,56,,SEC Semifinal
Sat Mar 15 2014,Kentucky,70,Georgia,58,,SEC Semifinal
Sun Mar 16 2014,Kentucky,60,Florida,61,,SEC Final
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Jan 4 2014,Oklahoma State,71,Kansas State,74,,
Sat Jan 4 2014,Oklahoma,88,Texas,85,,
Sat Jan 4 2014,West Virginia,74,Texas Christian,69,,
Sat Jan 4 2014,Iowa State,73,Texas Tech,62,,
Mon Jan 6 2014,West Virginia,89,Texas Tech,86,OT,
Tue Jan 7 2014,Baylor,72,Iowa State,87,,
Tue Jan 7 2014,Kansas State,65,Texas Christian,47,,
Wed Jan 8 2014,Kansas,90,Oklahoma,83,,
Wed Jan 8 2014,Texas,74,Oklahoma State,87,,
Sat Jan 11 2014,Texas Christian,62,Baylor,88,,
Sat Jan 11 2014,Kansas State,60,Kansas,86,,
Sat Jan 11 2014,Iowa State,82,Oklahoma,87,,
Sat Jan 11 2014,Texas Tech,64,Texas,67,,
Sat Jan 11 2014,Oklahoma State,73,West Virginia,72,,
Mon Jan 13 2014,Kansas,77,Iowa State,70,,
Mon Jan 13 2014,Texas,80,West Virginia,69,,
Tue Jan 14 2014,Oklahoma,66,Kansas State,72,,
Wed Jan 15 2014,Texas Christian,50,Oklahoma State,82,,
Wed Jan 15 2014,Baylor,72,Texas Tech,82,,
Sat Jan 18 2014,Oklahoma,66,Baylor,64,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Jan 18 2014,Oklahoma State,78,Kansas,80,,
Sat Jan 18 2014,West Virginia,56,Kansas State,78,,
Sat Jan 18 2014,Iowa State,76,Texas,86,,
Sat Jan 18 2014,Texas Tech,60,Texas Christian,49,,
Mon Jan 20 2014,Baylor,68,Kansas,78,,
Tue Jan 21 2014,Kansas State,64,Texas,67,,
Wed Jan 22 2014,Texas Christian,69,Oklahoma,77,,
Wed Jan 22 2014,Texas Tech,81,West Virginia,87,,
Sat Jan 25 2014,Texas,74,Baylor,60,,
Sat Jan 25 2014,Kansas State,75,Iowa State,81,,
Sat Jan 25 2014,West Virginia,75,Oklahoma State,81,,
Sat Jan 25 2014,Kansas,91,Texas Christian,69,,
Sat Jan 25 2014,Oklahoma,74,Texas Tech,65,,
Mon Jan 27 2014,Oklahoma State,76,Oklahoma,88,,
Tue Jan 28 2014,West Virginia,66,Baylor,64,,
Tue Jan 28 2014,Texas Tech,58,Kansas State,66,,
Wed Jan 29 2014,Iowa State,81,Kansas,92,,
Sat Feb 1 2014,Oklahoma,75,Iowa State,81,,
Sat Feb 1 2014,Baylor,76,Oklahoma State,70,,
Sat Feb 1 2014,Kansas,69,Texas,81,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Feb 1 2014,Texas Christian,54,Texas Tech,60,,
Sat Feb 1 2014,Kansas State,71,West Virginia,81,,
Mon Feb 3 2014,Iowa State,98,Oklahoma State,97,3OT,
Tue Feb 4 2014,Kansas,69,Baylor,52,,
Tue Feb 4 2014,Texas,59,Texas Christian,54,,
Wed Feb 5 2014,Oklahoma,86,West Virginia,91,OT,
Sat Feb 8 2014,Texas Christian,69,Iowa State,84,,
Sat Feb 8 2014,West Virginia,69,Kansas,83,,
Sat Feb 8 2014,Texas,57,Kansas State,74,,
Sat Feb 8 2014,Baylor,72,Oklahoma,88,,
Sat Feb 8 2014,Oklahoma State,61,Texas Tech,65,,
Mon Feb 10 2014,Kansas,82,Kansas State,85,OT,
Mon Feb 10 2014,Iowa State,77,West Virginia,102,,
Tue Feb 11 2014,Oklahoma State,68,Texas,87,,
Wed Feb 12 2014,Texas Tech,68,Oklahoma,60,,
Wed Feb 12 2014,Baylor,91,Texas Christian,58,,
Sat Feb 15 2014,Kansas State,73,Baylor,87,2OT,
Sat Feb 15 2014,Texas Tech,64,Iowa State,70,,
Sat Feb 15 2014,Texas Christian,65,Kansas,95,,
Sat Feb 15 2014,Oklahoma,77,Oklahoma State,74,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Feb 15 2014,West Virginia,71,Texas,88,,
Mon Feb 17 2014,Oklahoma State,64,Baylor,70,OT,
Tue Feb 18 2014,Texas,76,Iowa State,85,,
Tue Feb 18 2014,Kansas,64,Texas Tech,63,,
Wed Feb 19 2014,Texas Christian,53,Kansas State,65,,
Sat Feb 22 2014,Texas,54,Kansas,85,,
Sat Feb 22 2014,Kansas State,73,Oklahoma,86,,
Sat Feb 22 2014,Texas Tech,62,Oklahoma State,84,,
Sat Feb 22 2014,Iowa State,71,Texas Christian,60,,
Sat Feb 22 2014,Baylor,88,West Virginia,75,,
Mon Feb 24 2014,Oklahoma,75,Kansas,83,,
Mon Feb 24 2014,Oklahoma State,76,Texas Christian,54,,
Tue Feb 25 2014,Kansas State,60,Texas Tech,56,,
Wed Feb 26 2014,West Virginia,66,Iowa State,83,,
Wed Feb 26 2014,Baylor,69,Texas,74,,
Sat Mar 1 2014,Texas Tech,49,Baylor,59,,
Sat Mar 1 2014,Iowa State,73,Kansas State,80,,
Sat Mar 1 2014,Texas,65,Oklahoma,77,,
Sat Mar 1 2014,Kansas,65,Oklahoma State,72,,
Sat Mar 1 2014,Texas Christian,59,West Virginia,81,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Mon Mar 3 2014,Kansas State,61,Oklahoma State,77,,
Tue Mar 4 2014,Iowa State,61,Baylor,74,,
Wed Mar 5 2014,Texas Tech,57,Kansas,82,,
Wed Mar 5 2014,West Virginia,62,Oklahoma,72,,
Wed Mar 5 2014,Texas Christian,54,Texas,66,,
Sat Mar 8 2014,Oklahoma State,81,Iowa State,85,OT,
Sat Mar 8 2014,Baylor,76,Kansas State,74,,
Sat Mar 8 2014,Oklahoma,97,Texas Christian,67,,
Sat Mar 8 2014,Texas,53,Texas Tech,59,,
Sat Mar 8 2014,Kansas,86,West Virginia,92,,
Wed Mar 12 2014,Texas Christian,68,Baylor,76,,Big 12 First Round
Wed Mar 12 2014,Texas Tech,62,Oklahoma State,80,,Big 12 First Round
Thu Mar 13 2014,Oklahoma,73,Baylor,78,,Big 12 Quarterfinal
Thu Mar 13 2014,Kansas State,85,Iowa State,91,,Big 12 Quarterfinal
Thu Mar 13 2014,Oklahoma State,70,Kansas,77,OT,Big 12 Quarterfinal
Thu Mar 13 2014,West Virginia,49,Texas,66,,Big 12 Quarterfinal
Fri Mar 14 2014,Texas,69,Baylor,86,,Big 12 Semifinal
Fri Mar 14 2014,Kansas,83,Iowa State,94,,Big 12 Semifinal
Sat Mar 15 2014,Iowa State,74,Baylor,65,,Big 12 Final
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sun Dec 8 2013,Virginia Tech,61,Miami (FL),60,OT,
Thu Dec 12 2013,Maryland,88,Boston College,80,,
Sat Jan 4 2014,Clemson,62,Boston College,60,,
Sat Jan 4 2014,Virginia,62,Florida State,50,,
Sat Jan 4 2014,Georgia Tech,61,Maryland,77,,
Sat Jan 4 2014,Pittsburgh,74,North Carolina State,62,,
Sat Jan 4 2014,Duke,77,Notre Dame,79,,
Sat Jan 4 2014,Miami (FL),44,Syracuse,49,,
Sun Jan 5 2014,North Carolina,67,Wake Forest,73,,
Mon Jan 6 2014,Maryland,59,Pittsburgh,79,,
Tue Jan 7 2014,Georgia Tech,57,Duke,79,,
Tue Jan 7 2014,North Carolina State,77,Notre Dame,70,,
Tue Jan 7 2014,Syracuse,72,Virginia Tech,52,,
Wed Jan 8 2014,Miami (FL),63,North Carolina,57,,
Wed Jan 8 2014,Wake Forest,51,Virginia,74,,
Thu Jan 9 2014,Florida State,56,Clemson,41,,
Sat Jan 11 2014,Duke,59,Clemson,72,,
Sat Jan 11 2014,Notre Dame,69,Georgia Tech,74,,
Sat Jan 11 2014,Virginia,76,North Carolina State,45,,
Sat Jan 11 2014,Wake Forest,65,Pittsburgh,80,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Jan 11 2014,North Carolina,45,Syracuse,57,,
Sat Jan 11 2014,Boston College,62,Virginia Tech,59,,
Sun Jan 12 2014,Maryland,61,Florida State,85,,
Mon Jan 13 2014,Syracuse,69,Boston College,59,,
Mon Jan 13 2014,Virginia,65,Duke,69,,
Tue Jan 14 2014,Pittsburgh,81,Georgia Tech,74,,
Wed Jan 15 2014,Notre Dame,66,Maryland,74,,
Wed Jan 15 2014,Florida State,63,Miami (FL),53,,
Wed Jan 15 2014,Clemson,56,Virginia Tech,49,,
Wed Jan 15 2014,North Carolina State,69,Wake Forest,70,,
Sat Jan 18 2014,Wake Forest,53,Clemson,61,,
Sat Jan 18 2014,North Carolina State,60,Duke,95,,
Sat Jan 18 2014,Miami (FL),56,Georgia Tech,42,,
Sat Jan 18 2014,Boston College,71,North Carolina,82,,
Sat Jan 18 2014,Pittsburgh,54,Syracuse,59,,
Sat Jan 18 2014,Florida State,66,Virginia,78,,
Sun Jan 19 2014,Virginia Tech,63,Notre Dame,70,,
Mon Jan 20 2014,Maryland,56,North Carolina State,65,,
Mon Jan 20 2014,North Carolina,61,Virginia,76,,
Tue Jan 21 2014,Georgia Tech,68,Boston College,60,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Jan 21 2014,Notre Dame,74,Florida State,76,,
Tue Jan 21 2014,Clemson,43,Pittsburgh,76,,
Wed Jan 22 2014,Duke,67,Miami (FL),46,,
Wed Jan 22 2014,Wake Forest,83,Virginia Tech,77,,
Sat Jan 25 2014,Florida State,56,Duke,78,,
Sat Jan 25 2014,Pittsburgh,83,Maryland,79,,
Sat Jan 25 2014,Syracuse,64,Miami (FL),52,,
Sat Jan 25 2014,Virginia Tech,45,Virginia,65,,
Sat Jan 25 2014,Notre Dame,58,Wake Forest,65,,
Sun Jan 26 2014,Clemson,61,North Carolina,80,,
Sun Jan 26 2014,Georgia Tech,78,North Carolina State,80,OT,
Mon Jan 27 2014,Duke,80,Pittsburgh,65,,
Tue Jan 28 2014,Virginia,68,Notre Dame,53,,
Wed Jan 29 2014,Virginia Tech,52,Boston College,76,,
Wed Jan 29 2014,North Carolina,78,Georgia Tech,65,,
Wed Jan 29 2014,Miami (FL),71,Maryland,74,,
Wed Jan 29 2014,Florida State,70,North Carolina State,74,,
Wed Jan 29 2014,Syracuse,67,Wake Forest,57,,
